"occupational_code","occupational_code_title","total_employment","annual_mean_wage"
"11-3021","Computer and Information Systems Managers",980,"76570"
"15-1121","Computer Systems Analysts",1070,"49760"
"15-1122","Information Security Analysts",230,"46890"
"15-1131","Computer Programmers",1260,"45100"
"15-1132","Software Developers, Applications",470,"51930"
"15-1133","Software Developers, Systems Software",210,"62660"
"15-1134","Web Developers",110,"37320"
"15-1141","Database Administrators",450,"47570"
"15-1142","Network and Computer Systems Administrators",650,"46400"
"15-1143","Computer Network Architects",390,"53980"
"15-1151","Computer User Support Specialists",2900,"31270"
"15-1152","Computer Network Support Specialists",590,"38470"
"15-2041","Statisticians",240,"35000"
"17-2061","Computer Hardware Engineers",450,"68060"
"43-9011","Computer Operators",700,"23000"
"43-9021","Data Entry Keyers",2750,"21450"
