"naics_code","naics_title_code","year_2011","year_2012","year_2013","year_2014"
"5111","     Newspaper, periodical, book, and directory","95.001000000000005","97.096999999999994","100.614","105.684"
"5112","     Software publishers","8.5719999999999992","9.7379999999999995","10.259","13.612"
"5170","   Telecommunications","453.07600000000002","445.34100000000001","445.98500000000001","448.63"
"5180","   Internet service providers, web search portals, ","106.92","110.70699999999999","98.980999999999995","102.20699999999999"
"5190","   Other information services","4.0339999999999998","3.9849999999999999","4.0229999999999997","4.2729999999999997"
"5413","   Architectural, engineering, and related ","191.845","204.614","212.761","213.67500000000001"
"5414","   Specialized design services","7.4080000000000004","7.9089999999999998","8.5570000000000004","9.4"
"5415","   Computer systems design and related ","129.43700000000001","132.839","143.63800000000001","150.048"
"5416","   Management, scientific, and technical ","218.88499999999999","260.51","290.36700000000002","303.404"
"5417","   Scientific research and development ","18.077999999999999","20.64","23.695","25.744"
"6114","   Business schools and computer and ","20.693999999999999","24.367000000000001","26.672000000000001","29.645"
"6215","     Medical and diagnostic laboratories","137.024","145.255","154.18","163.16900000000001"
"6220","   Hospitals","1024.8019999999999","1069.127","1096.5129999999999","1119.3889999999999"
