"level","first_second_major","cip_description","year","sum"
"Bachelor","First major","Communications Technology/Technician","2013",42
"Bachelor","First major","Communications Technologies/Technicians and Support Services, Other","2013",NA
"Bachelor","First major","Computer and Information Sciences and Support Services","2013",605
"Bachelor","First major","Engineering","2013",1095
"Bachelor","First major","Engineering Technologies and Engineering-related Fields","2013",226
"Bachelor","First major","Biological and Biomedical Sciences","2013",1429
"Bachelor","First major","Mathematics and Statistics","2013",24
"Bachelor","First major","Biological and Physical Sciences","2013",NA
"Bachelor","First major","Mathematics and Computer Science","2013",NA
"Bachelor","First major","Science, Technology and Society","2013",NA
"Bachelor","First major","Natural Sciences","2013",206
"Bachelor","First major","Computational Science","2013",NA
"Bachelor","First major","Human Computer Interaction","2013",NA
"Bachelor","First major","Electrical/Electronics Maintenance and Repair Technology","2013",0
"Bachelor","First major","Precision Systems Maintenance and Repair Technologies","2013",NA
"Bachelor","First major","Medical Illustration and Informatics","2013",NA
"Bachelor","First major","Physical Sciences","2013",230
"Bachelor","First major","Science Technologies/Technicians","2013",5
"Doctor","First major","Biological and Biomedical Sciences","2013",27
"Doctor","First major","Biological and Physical Sciences","2013",0
"Doctor","First major","Communications Technologies/Technicians and Support Services, Other","2013",0
"Doctor","First major","Communications Technology/Technician","2013",0
"Doctor","First major","Computational Science","2013",0
"Doctor","First major","Computer and Information Sciences and Support Services","2013",4
"Doctor","First major","Electrical/Electronics Maintenance and Repair Technology","2013",0
"Doctor","First major","Engineering","2013",6
"Doctor","First major","Engineering Technologies and Engineering-related Fields","2013",0
"Doctor","First major","Human Computer Interaction","2013",0
"Doctor","First major","Mathematics and Computer Science","2013",0
"Doctor","First major","Mathematics and Statistics","2013",1
"Doctor","First major","Medical Illustration and Informatics","2013",0
"Doctor","First major","Natural Sciences","2013",0
"Doctor","First major","Physical Sciences","2013",30
"Doctor","First major","Precision Systems Maintenance and Repair Technologies","2013",0
"Doctor","First major","Science Technologies/Technicians","2013",0
"Doctor","First major","Science, Technology and Society","2013",0
"Master","First major","Communications Technology/Technician","2013",NA
"Master","First major","Communications Technologies/Technicians and Support Services, Other","2013",NA
"Master","First major","Computer and Information Sciences and Support Services","2013",95
"Master","First major","Engineering","2013",176
"Master","First major","Engineering Technologies and Engineering-related Fields","2013",90
"Master","First major","Biological and Biomedical Sciences","2013",87
"Master","First major","Mathematics and Statistics","2013",28
"Master","First major","Biological and Physical Sciences","2013",NA
"Master","First major","Mathematics and Computer Science","2013",NA
"Master","First major","Science, Technology and Society","2013",NA
"Master","First major","Natural Sciences","2013",NA
"Master","First major","Computational Science","2013",NA
"Master","First major","Human Computer Interaction","2013",NA
"Master","First major","Physical Sciences","2013",21
"Master","First major","Science Technologies/Technicians","2013",NA
"Master","First major","Electrical/Electronics Maintenance and Repair Technology","2013",NA
"Master","First major","Precision Systems Maintenance and Repair Technologies","2013",NA
"Master","First major","Medical Illustration and Informatics","2013",NA
